PipelineID,Toll Description
Express,Express Pipeline Ltd. is subject to Group 2 financial regulation. Tolls on the Express Pipeline are regulated by the CER on a complaint basis.
Foothills,Foothills operated under a negotiated settlement from 2003-2017. Tolls on Foothills are zone-based and are set according to a full cost of service model. Foothills Zones 6 and 7 are located in Alberta. Zone 8 is located in British Columbia and Zone 9 in Saskatchewan. Zones 7 and 8 are also referred to as the Western Leg segment of the Foothills system; while Zones 6 and 9 are referred to as the Eastern Leg segment.
Genesis,Genesis Pipeline Canada Ltd. is subject to Group 2 financial regulation. Tolls on the Genesis pipeline are regulated by the CER on a complaint basis.
Keystone,"Keystone negotiated its committed tolls with shippers through open seasons. Keystone shippers hold long-term contracts for about 90% of the pipeline's capacity. Committed toll levels on Keystone vary based on term lengths and delivery points. Uncommitted service is offered to “walk up” shippers. Keystone offers the uncommitted shippers an option to utilize the international joint rate to ship crude oil from Canada to the U.S., ending in Texas. A Canadian uncommitted toll is also available for uncommitted service to Haskett, near the boundary between Manitoba and North Dakota, for ultimate delivery to the United States."
ManyIslands,Many Islands Pipe Lines (Canada) Limited is subject to Group 2 financial regulation. Tolls on the Many Islands pipelines are regulated by the CER on a complaint basis.
MilkRiver,"Plains Midstream Canada is subject to Group 2 financial regulation. Tolls on the Milk River Pipeline are regulated by the CER on a complaint basis.
"
MNP,"Maritimes & Northeast Pipeline (M&NP) tolls are calculated in accordance with a toll settlement for 2020 to 2021 and are cost-based. M&NP uses a ‘postage stamp’ tolling model in which the toll is the same for all paths on the system regardless of the distance travelled.
"
Montreal,Montreal Pipe Line Limited is subject to Group 2 financial regulation. Tolls on the Montreal Pipeline are regulated by the CER on a complaint basis.
NGTL,"Tolls on NGTL are based on a cost of service model. Customers contract separately for receipt and delivery services. In August 2010, the CER approved a new tolls design methodology for NGTL [Filing A25890], which came into effect on 1 November 2010. Under the revised toll methodology, delivery tolls on NGTL are calculated depending on the distance and service offering. Receipt tolls on NGTL are location-specific and are subject to pricing floors and ceilings. In the graphs below, the receipt tolls are shown as an average of rates at all receipt points, as reported to the CER. The delivery tolls are shown as 3 types: an average of Group 1 delivery points; all group 2 delivery points; and all group 3 delivery points.

NGTL operated under revenue requirement settlements for 2010 to 2018. In March 2019, NGTL applied for the System Rate Design and Services [Folder 3752364]. NGTL sought approval of a rate design methodology and terms and conditions of service for the NGTL system, as well as for a surcharge formula to be paid by FT-R shippers on the North Montney Mainline segment of the NGTL system. The application was approved under the NEB Act in March of 2020.

In August 2019, NGTL applied for an amendment to its Gas Transportation Tariff, referred to as the Temporary Service Protocol (TSP) [Folder 3816276]. The TSP would allow for prioritization of interruptible and delivery storage injections over interruptible or firm receipt services to manage system constraints and improve access to storage during planned outage and maintenance periods. TSP would be effective for the summers of 2019 and 2020. In July 2020, the Explorers and Producers Association of Canada (EPAC) applied to extend the TSP [Folder 3950515], which NGTL opposed, and the extension was denied by the CER in February 2021.
"
NormanWells,"Tolls on the Norman Wells pipeline are regulated on a complaint basis, based on a cost of service methodology. The cost of service is calculated according to the Norman Wells Pipeline Amending Agreement approved by the National Energy Board in 1998. Year-end adjustments are based on the actual full cost of service and throughput for a specific year. Enbridge determines its allowable equity return using the formula from the National Energy Board's RH-2-94 decision. Significant toll increases are attributed to decreasing throughput and increased integrity spending."
PouceCoupe,
SouthernLights,"The Southern Lights Pipeline has committed and uncommitted tolls. Committed tolls are available to shippers that signed 15-year contracts, which expire in 2025. Uncommitted tolls are twice the level of committed tolls, but do not have a long-term contract requirement. Enbridge Southern Lights is subject to Group 2 financial regulation. Tolls on the Southern Lights Pipeline are regulated by the CER on a complaint basis."
Suffield,
Taylor,
TCPL,"From 2007 to 2011, the TC Canadian Mainline operated under a negotiated settlement based on a cost of service toll methodology. 

In 2011, TCPL filed a toll application [Folder 711778]. The NEB’s Reasons for Decision in March 2013 resulted in lower multi-year fixed tolls for Firm Transportation service. It also gave TCPL discretion in the pricing of Interruptible Transportation service and Short Term Firm Transportation service. When the decision was implemented in mid-2013, firm contracts from Empress increased.
 
At the end of 2013, TCPL and three eastern local distribution companies applied for a new toll regime incenting TCPL to build new facilities in the Eastern Triangle [Folder 2397890]. It was approved in December 2014, resulting in higher tolls that were determined based on the TC Canadian Mainline’s cost of service. This toll methodology was expected to be in place from 2015 to 2020, with a review in 2017. In December 2017, TCPL filed an application for 2018-2020 Mainline Tolls and the NEB issued Reasons for Decision in December 2018 [Folder 3413374].

Between 2017 and 2019, the NEB approved several Long Term Fixed Price (LTFP) services, which provided lower tolls in order to retain or attract volumes to the system [Folder 3173691, Folder 3224371 and Folder 3715883].
  
In April 2020, the CER approved the 2021-2026 negotiated settlement between TCPL and TC Canadian Mainline shippers [Folder 3891141]. The settlement fixes firm tolls on the TC Canadian Mainline for a period of six years, between 1 January 2021 and 31 December 2026, and segmented the system into the Western Mainline and Eastern Triangle for tolling purposes.

Note that the natural gas distribution company, Gaz Métro, was renamed to Énergir in late 2017. Subsequently, the delivery point GMIT EDA was renamed to Energir EDA.
"
TQM,"TQM tolls are calculated in accordance with a toll settlement for 2017 to 2021 and are cost-based. The CER approved TQM's tolling methodology in February 2017 (Order TG-001-2017) [Folder 3179270]. The Canadian Mainline has a firm contract for all the capacity on TQM and demand charges are paid by TransCanada PipeLines, regardless of flows."
TransMountain,"Trans Mountain currently operates under a three-year Incentive Toll Settlement (2016-2018 ITS). Tolls have fluctuated as over or under-recoveries of revenues are transferred to future years. Tolls are based on the quality of crude oil, the volumes and the specific pipeline path. Since January 2015, consideration of a shipper's previous delivery volumes has helped determine fair and equitable allocation of Trans Mountain system capacity."
TransNorthern,"Incentive tolls on the Trans-Northern pipeline are negotiated with shippers and based on revenue requirements. The annual tolls are for routes between designated origin and destination points within the provinces of Quebec and Ontario and are charged by volume and crude oil quality. In 1996, Trans-Northern's RHW-3-96 toll settlement established a starting point for its revenue requirement, and a mechanism to adjust costs each year. Trans-Northern Pipelines Inc. earns a return on equity equivalent to the RH-2-94 formula rate plus 25 points additional return for risk. In the incentive tolls agreement, earnings above a threshold of $3.2 million are shared equally between Trans-Northern's shareholders and shippers. Shippers receive these earnings in the form of reduced tolls in the next year. Tolls are submitted annually to the CER.
"
Vantage,
Vector,Vector Pipeline Limited Partnership is subject to Group 2 financial regulation. Tolls on the Vector Pipeline are regulated by the CER on a complaint basis.
Wascana,"Because there are no third party shippers on the Wascana Pipeline, in June 2016, the CER approved PMC's request [Folder 3004714] for exemption from filing audited financial statements and tariffs for the Wascana Pipeline.

Plains Midstream Canada is subject to Group 2 financial regulation. Tolls on the Wascana Pipeline are regulated by the CER on a complaint basis."
Westcoast,"For tolling purposes, Westcoast is divided into two zones:
1.	 Zone 3 consists of sales gas transmission pipelines north of compressor station 2, near Chetwynd, British Columbia. Zone 3 is also referred to as Transportation North or T-North.
2.	Zone 4 consists of the sales gas transmission pipelines south of compressor station 2. Zone 4 is also referred to as Transportation South or T-South.

Tolls are based on the cost of service, are zone-based, and are term-differentiated (for example, tolls for a five year contract are lower than tolls for a two year contract).

"
Westspur,Kingston Midstream Westspur Limited is subject to Group 2 financial regulation and tolls on the Westspur Pipeline are regulated by the CER on a complaint basis.
