"Incident Number","Incident Types","Reported Date","Nearest Populated Centre","Province","Company","Status","Latitude","Longitude","Approximate Volume Released (m3)","Substance","Release Type","Significant","Year","What Happened","Why It Happened"
"INC2008-109","Fire, Release of Substance","11/20/2008","Taylor","British Columbia","Westcoast Energy Inc., carrying on business as Spectra Energy Transmission","Closed","56.14652000","-120.66937000","0.0050","Mixed HVP Hydrocarbons","Gas","No","2008","Equipment Failure","Maintenance"
"INC2008-110","Release of Substance","11/21/2008","Fort Nelson","British Columbia","Westcoast Energy Inc., carrying on business as Spectra Energy Transmission","Closed","59.20196000","-121.59630000","10.0000","Condensate","Liquid","No","2008","Incorrect Operation","Inadequate Supervision"
"INC2008-111","Release of Substance","11/26/2008","Chetwynd","British Columbia","Westcoast Energy Inc., carrying on business as Spectra Energy Transmission","Closed","55.56932000","-121.94466000","10.0000","Amine","Miscellaneous","No","2008","Defect and Deterioration","Maintenance"
"INC2008-112","Fire","11/26/2008","McLeod Lake","British Columbia","Westcoast Energy Inc., carrying on business as Spectra Energy Transmission","Closed","55.03189000","-123.03117000","Not Applicable","Not Applicable","Not Applicable","No","2008","Defect and Deterioration","Maintenance"
"INC2008-113","Release of Substance, Adverse Environmental Effects","12/01/2008","Chetwynd","British Columbia","Westcoast Energy Inc., carrying on business as Spectra Energy Transmission","Closed","55.56920000","-121.94446000","2.0000","Glycol","Miscellaneous","Yes","2008","Defect and Deterioration","Standards and Procedures"
"INC2008-114","Release of Substance","12/02/2008","Winnipeg","Manitoba","TransCanada PipeLines Limited","Closed","49.68017000","-96.64917000","Not Provided","Natural Gas - Sweet","Gas","No","2008","External Interference","Standards and Procedures"
"INC2008-115","Fire","12/02/2008","Charlie Lake","British Columbia","Westcoast Energy Inc., carrying on business as Spectra Energy Transmission","Closed","56.63822000","-121.65102000","Not Applicable","Not Applicable","Not Applicable","No","2008","Equipment Failure","Maintenance, Standards and Procedures"
"INC2008-119","Release of Substance","12/08/2008","McLeod Lake","British Columbia","Westcoast Energy Inc., carrying on business as Spectra Energy Transmission","Closed","55.03200000","-123.03098000","Not Provided","Natural Gas - Sweet","Gas","No","2008","Defect and Deterioration","Maintenance"
"INC2008-120","Release of Substance","12/09/2008","Winnipeg","Manitoba","TransCanada PipeLines Limited","Closed","49.75544000","-97.23050000","Not Provided","Natural Gas - Sweet","Gas","No","2008","Equipment Failure","Maintenance"
"INC2008-121","Adverse Environmental Effects","12/10/2008","Goldboro","Nova Scotia","EnCana Corporation","Closed","45.18253000","-61.65236000","Not Applicable","Not Applicable","Not Applicable","Yes","2008","Equipment Failure","Maintenance"
"INC2008-123","Fire","12/17/2008","Edmonton","Alberta","Enbridge Pipelines Inc.","Closed","53.54740000","-113.35571000","Not Applicable","Not Applicable","Not Applicable","No","2008","External Interference","Maintenance"
"INC2008-128","Release of Substance","01/13/2009","Hearst","Ontario","TransCanada PipeLines Limited","Closed","49.76492000","-84.91824000","Not Provided","Natural Gas - Sweet","Gas","No","2009","Corrosion and Cracking","Engineering and Planning"
"INC2009-002","Release of Substance","01/15/2009","Lincoln","Ontario","TransCanada PipeLines Limited","Closed","43.11405000","-79.46307000","Not Provided","Natural Gas - Sweet","Gas","No","2009","Corrosion and Cracking","Maintenance"
"INC2009-009","Serious Injury (CER or TSB)","02/09/2009","White City","Saskatchewan","Enbridge Pipelines Inc.","Closed","50.44344000","-104.35655000","Not Applicable","Not Applicable","Not Applicable","Yes","2009","Equipment Failure, Incorrect Operation","Human Factors, Maintenance, Standards and Procedures"
"INC2009-010","Release of Substance","02/09/2009","Lincoln","Ontario","TransCanada PipeLines Limited","Closed","43.11368000","-79.46307000","Not Provided","Fuel Gas","Gas","No","2009","Defect and Deterioration","Maintenance"
"INC2009-015","Serious Injury (CER or TSB), Release of Substance","02/20/2009","Wonowon","British Columbia","Westcoast Energy Inc., carrying on business as Spectra Energy Transmission","Closed","56.72686000","-121.81832000","0.0001","Natural Gas - Sour","Gas","Yes","2009","Corrosion and Cracking, Incorrect Operation","Engineering and Planning, Inadequate Supervision"
"INC2009-019","Release of Substance","03/05/2009","Portage La Prairie","Manitoba","TransCanada PipeLines Limited","Closed","49.91175000","-98.51757000","2.5000","Lube Oil","Liquid","No","2009","Defect and Deterioration","Maintenance"
"INC2009-021","Release of Substance","03/10/2009","Potter","Ontario","TransCanada PipeLines Limited","Closed","48.87172000","-80.89396000","Not Provided","Natural Gas - Sweet","Gas","No","2009","Defect and Deterioration","Maintenance"
"INC2009-024","Serious Injury (CER or TSB)","03/13/2009","Sarnia","Ontario","Enbridge Pipelines Inc.","Closed","42.97494000","-82.40703000","Not Applicable","Not Applicable","Not Applicable","Yes","2009","Incorrect Operation","Human Factors"
"INC2009-026","Release of Substance","03/23/2009","Not specified","British Columbia","Westcoast Energy Inc., carrying on business as Spectra Energy Transmission","Closed","57.31724000","-120.82153000","Not Provided","Natural Gas - Sour","Gas","Yes","2009","External Interference","Failure in communication"
"INC2009-031","Release of Substance","04/07/2009","Tumbler Ridge","British Columbia","Westcoast Energy Inc., carrying on business as Spectra Energy Transmission","Closed","54.97941000","-121.06074000","Not Provided","Natural Gas - Sour","Gas","Yes","2009","Equipment Failure","Maintenance"
"INC2009-032","Release of Substance","04/08/2009","Mattice","Ontario","TransCanada PipeLines Limited","Closed","49.58574000","-83.16712000","Not Provided","Natural Gas - Sweet","Gas","No","2009","Natural Force Damage","Engineering and Planning"
"INC2009-034","Release of Substance","04/23/2009","Hamilton","Ontario","TransCanada PipeLines Limited","Closed","43.35064000","-80.11930000","Not Provided","Natural Gas - Sweet","Gas","No","2009","Corrosion and Cracking","Maintenance"
"INC2009-035","Fire, Release of Substance","04/23/2009","Fort Nelson","British Columbia","Westcoast Energy Inc., carrying on business as Spectra Energy Transmission","Closed","58.65325000","-122.68501000","0.0040","Sulphur","Miscellaneous","No","2009","Defect and Deterioration","Maintenance"
"INC2009-036","Release of Substance","04/30/2009","Taylor","British Columbia","Westcoast Energy Inc., carrying on business as Spectra Energy Transmission","Closed","56.14652000","-120.66917000","Not Provided","Natural Gas - Sour","Gas","Yes","2009","External Interference, Incorrect Operation","Standards and Procedures"
"INC2009-037","Release of Substance","05/01/2009","Upsala","Ontario","TransCanada PipeLines Limited","Closed","49.03329000","-90.51006000","Not Provided","Natural Gas - Sweet","Gas","No","2009","Corrosion and Cracking","Engineering and Planning"
"INC2009-039","Release of Substance","05/07/2009","Vegreville","Alberta","NOVA Gas Transmission Ltd.","Closed","53.63705000","-112.01828000","Not Provided","Natural Gas - Sweet","Gas","No","2009","Defect and Deterioration","Standards and Procedures"
"INC2009-040","Release of Substance","05/07/2009","Burnaby","British Columbia","Trans Mountain Pipeline ULC","Closed","49.26849000","-122.93134000","305.0000","Crude Oil - Sweet","Liquid","No","2009","Defect and Deterioration","Engineering and Planning, Standards and Procedures, Tools and Equipment"
"INC2009-041","Release of Substance","05/11/2009","Valleyview","Alberta","NOVA Gas Transmission Ltd.","Closed","54.93272000","-117.25214000","Not Provided","Natural Gas - Sweet","Gas","No","2009","Corrosion and Cracking","Maintenance"
"INC2009-042","Release of Substance","05/14/2009","Not specified","Quebec","TransCanada PipeLines Limited","Closed","45.31394000","-73.48289000","Not Provided","Natural Gas - Sweet","Gas","No","2009","Equipment Failure","Maintenance"
"INC2009-043","Fire","05/15/2009","Fort Nelson","British Columbia","Westcoast Energy Inc., carrying on business as Spectra Energy Transmission","Closed","58.65334000","-122.68482000","Not Applicable","Not Applicable","Not Applicable","No","2009","Equipment Failure","Maintenance"
"INC2009-045","Release of Substance","05/22/2009","Rosetown","Saskatchewan","Kinder Morgan Cochin ULC","Closed","51.55484000","-107.99600000","6.3600","Propane","Gas","No","2009","Defect and Deterioration","Standards and Procedures"
"INC2009-047","Fire","05/24/2009","Chetwynd","British Columbia","Westcoast Energy Inc., carrying on business as Spectra Energy Transmission","Closed","55.56925000","-121.94485000","Not Applicable","Not Applicable","Not Applicable","No","2009","Equipment Failure","Maintenance"
"INC2009-048","Release of Substance","05/27/2009","Wandering River","Alberta","NOVA Gas Transmission Ltd.","Closed","55.67738000","-112.18288000","Not Provided","Natural Gas - Sweet","Gas","No","2009","Defect and Deterioration","Maintenance"
"INC2009-049","Release of Substance","06/03/2009","Vegreville","Alberta","NOVA Gas Transmission Ltd.","Closed","53.63705000","-112.01829000","Not Provided","Natural Gas - Sweet","Gas","No","2009","Corrosion and Cracking","Standards and Procedures"
"INC2009-053","Release of Substance","06/22/2009","Loreburn","Saskatchewan","Alliance Pipeline Ltd.","Closed","51.27190000","-106.75421000","Not Provided","Natural Gas - Sweet","Gas","No","2009","Corrosion and Cracking","Maintenance"
"INC2009-054","Release of Substance","06/28/2009","Falcon Lake","Manitoba","TransCanada PipeLines Limited","Closed","49.68123000","-95.37458000","Not Provided","Natural Gas - Sweet","Gas","No","2009","Defect and Deterioration","Maintenance"
"INC2009-055","Release of Substance","06/29/2009","Colborne","Ontario","Enbridge Pipelines Inc.","Closed","44.06958000","-77.92945000","1.8000","Crude Oil - Sweet","Liquid","No","2009","Equipment Failure","Maintenance"
"INC2009-056","Release of Substance","07/01/2009","Kobes","British Columbia","Westcoast Energy Inc., carrying on business as Spectra Energy Transmission","Closed","56.49299240","-121.33543400","Not Provided","Natural Gas - Sour","Gas","Yes","2009","Corrosion and Cracking","Human Factors, Maintenance"
"INC2009-057","Operation Beyond Design Limits","07/02/2009","Saint-Eustache","Quebec","Trans-Northern Pipelines Inc.","Closed","45.55865000","-73.89602000","Not Applicable","Not Applicable","Not Applicable","No","2009","Equipment Failure","Engineering and Planning, Standards and Procedures"
"INC2009-058","Fire, Release of Substance","07/05/2009","Hanna","Alberta","NOVA Gas Transmission Ltd.","Closed","51.72852800","-111.68050000","17000.0000","Natural Gas - Sweet","Gas","No","2009","External Interference","Maintenance"
"INC2009-060","Release of Substance","07/13/2009","Fort Nelson","British Columbia","Westcoast Energy Inc., carrying on business as Spectra Energy Transmission","Closed","58.93456000","-121.31210000","4.0000","Natural Gas - Sour","Gas","Yes","2009","Corrosion and Cracking","Engineering and Planning"
"INC2009-063","Release of Substance","07/15/2009","Smokey Lake","Alberta","NOVA Gas Transmission Ltd.","Closed","54.09552000","-112.31043000","Not Provided","Natural Gas - Sweet","Gas","No","2009","Equipment Failure","Maintenance"
"INC2009-065","Fire","07/16/2009","Wainwright","Alberta","NOVA Gas Transmission Ltd.","Closed","52.75424000","-110.74467000","Not Applicable","Not Applicable","Not Applicable","No","2009","External Interference","Standards and Procedures"
"INC2009-066","Fire, Release of Substance","07/20/2009","Hay River","Alberta","NOVA Gas Transmission Ltd.","Closed","58.20838900","-118.50172200","1450000.0000","Natural Gas - Sweet","Gas","Yes","2009","Corrosion and Cracking","Maintenance, Tools and Equipment"
"INC2009-067","Release of Substance","07/20/2009","Saint John","New Brunswick","Emera Brunswick Pipeline Company Ltd.","Closed","45.26269000","-65.98211000","Not Provided","Natural Gas - Sweet","Gas","No","2009","Equipment Failure","Maintenance"
"INC2009-068","Release of Substance","07/21/2009","Crowsnest Pass","Alberta","NOVA Gas Transmission Ltd.","Closed","49.62622000","-114.51601000","Not Provided","Natural Gas - Sweet","Gas","No","2009","Defect and Deterioration, Equipment Failure","Inadequate Supervision, Maintenance, Tools and Equipment"
"INC2009-072","Fire","07/24/2009","Not specified","British Columbia","Westcoast Energy Inc., carrying on business as Spectra Energy Transmission","Closed","56.83306000","-122.36517000","Not Applicable","Not Applicable","Not Applicable","No","2009","Equipment Failure","Inadequate Supervision, Maintenance"
"INC2009-075","Release of Substance","07/31/2009","Grande Prairie","Alberta","NOVA Gas Transmission Ltd.","Closed","55.12549000","-117.83828000","40.0000","Natural Gas - Sweet","Gas","No","2009","Equipment Failure","Maintenance"
"INC2009-076","Release of Substance","08/04/2009","Edson","Alberta","NOVA Gas Transmission Ltd.","Closed","53.58571000","-116.43392000","2.9000","Natural Gas - Sweet","Gas","No","2009","Defect and Deterioration","Maintenance"
"INC2009-078","Operation Beyond Design Limits","08/10/2009","Sarnia","Ontario","Enbridge Pipelines Inc.","Closed","42.97521000","-82.40666000","Not Applicable","Not Applicable","Not Applicable","No","2009","External Interference","Maintenance"
"INC2009-079","Operation Beyond Design Limits","08/11/2009","Chetwynd","British Columbia","Westcoast Energy Inc., carrying on business as Spectra Energy Transmission","Closed","55.56925000","-121.94466000","Not Applicable","Not Applicable","Not Applicable","No","2009","Equipment Failure","Inadequate Supervision, Maintenance"
"INC2009-080","Fire","08/11/2009","Bowmanville","Ontario","TransCanada PipeLines Limited","Closed","43.96006000","-78.81933000","Not Applicable","Not Applicable","Not Applicable","No","2009","Equipment Failure","Maintenance"
"INC2009-084","Release of Substance","08/24/2009","Williams Lake","British Columbia","Westcoast Energy Inc., carrying on business as Spectra Energy Transmission","Closed","52.12922000","-121.94289000","Not Provided","Natural Gas - Sweet","Gas","No","2009","Corrosion and Cracking","Maintenance"
"INC2009-086","Release of Substance","09/02/2009","Hanna","Alberta","NOVA Gas Transmission Ltd.","Closed","51.66911000","-111.89811000","0.5000","Natural Gas - Sweet","Gas","No","2009","Equipment Failure","Maintenance"
"INC2009-087","Release of Substance","09/02/2009","Zama Lake","Alberta","NOVA Gas Transmission Ltd.","Closed","59.05953000","-119.89276000","10.0000","Natural Gas - Sweet","Gas","No","2009","Corrosion and Cracking","Tools and Equipment"
"INC2009-088","Release of Substance","09/02/2009","Burstall","Saskatchewan","Foothills Pipe Lines Ltd.","Closed","50.65584000","-109.90599000","566.3000","Natural Gas - Sweet","Gas","No","2009","Corrosion and Cracking","Maintenance"
"INC2009-089","Release of Substance","09/03/2009","Savona","British Columbia","Westcoast Energy Inc., carrying on business as Spectra Energy Transmission","Closed","50.74862000","-120.85870000","12.0000","Fuel Gas","Gas","No","2009","Equipment Failure","Standards and Procedures"
"INC2009-090","Release of Substance","09/04/2009","Grande Prairie","Alberta","NOVA Gas Transmission Ltd.","Closed","54.83080000","-118.64572000","100.0000","Fuel Gas","Gas","No","2009","Equipment Failure","Maintenance"
"INC2009-092","Fire","09/10/2009","Edmonton","Alberta","Enbridge Pipelines Inc.","Closed","53.54735000","-113.35571000","Not Applicable","Not Applicable","Not Applicable","No","2009","Equipment Failure","Maintenance"
"INC2009-095","Explosion, Fire, Release of Substance","09/12/2009","Englehart","Ontario","TransCanada PipeLines Limited","Closed","47.91284700","-79.98708900","3420000.0000","Natural Gas - Sweet","Gas","Yes","2009","Corrosion and Cracking","Maintenance"
"INC2009-096","Release of Substance","09/13/2009","Ste. Anne","Manitoba","TransCanada PipeLines Limited","Closed","49.71929000","-96.98281000","Not Provided","Natural Gas - Sweet","Gas","No","2009","Corrosion and Cracking","Maintenance, Standards and Procedures"
"INC2009-100","Explosion","09/14/2009","Maple","Ontario","TransCanada PipeLines Limited","Closed","43.87381000","-79.58002000","Not Applicable","Not Applicable","Not Applicable","No","2009","External Interference","Maintenance, Standards and Procedures"
"INC2009-101","Fire","09/17/2009","Strome","Alberta","Enbridge Pipelines Inc.","Closed","52.93032000","-112.07365000","Not Applicable","Not Applicable","Not Applicable","No","2009","External Interference","Engineering and Planning"
"INC2009-102","Release of Substance","09/18/2009","Fairview","Alberta","NOVA Gas Transmission Ltd.","Closed","56.36855000","-119.92869000","Not Provided","Natural Gas - Sweet","Gas","No","2009","Defect and Deterioration","Maintenance"
"INC2009-103","Release of Substance","09/18/2009","Falcon Lake","Manitoba","TransCanada PipeLines Limited","Closed","49.68123000","-95.37477000","0.1000","Natural Gas - Sweet","Gas","No","2009","Corrosion and Cracking","Maintenance"
"INC2009-104","Release of Substance","09/20/2009","Not specified","Alberta","NOVA Gas Transmission Ltd.","Closed","53.96117000","-116.46306000","63000.0000","Natural Gas - Sweet","Gas","Yes","2009","External Interference","Maintenance"
"INC2009-105","Release of Substance","09/22/2009","Glenboro","Manitoba","Enbridge Pipelines Inc.","Closed","49.54444300","-99.32067800","4.7500","Crude Oil - Sweet","Liquid","No","2009","Defect and Deterioration","Inadequate Supervision, Standards and Procedures"
"INC2009-106","Release of Substance","09/23/2009","Taylor","British Columbia","Westcoast Energy Inc., carrying on business as Spectra Energy Transmission","Closed","56.14625000","-120.66917000","68.0000","Natural Gas - Sour","Gas","Yes","2009","Equipment Failure","Maintenance"
"INC2009-107","Fire","09/24/2009","Brookdale","Manitoba","TransCanada PipeLines Limited","Closed","50.04208000","-99.65931000","Not Applicable","Not Applicable","Not Applicable","No","2009","Equipment Failure","Maintenance"
"INC2009-109","Release of Substance","09/26/2009","Marten River","Ontario","TransCanada PipeLines Limited","Closed","46.89733000","-79.80783000","1430000.0000","Natural Gas - Sweet","Gas","Yes","2009","Defect and Deterioration","Engineering and Planning, Maintenance"
"INC2009-111","Release of Substance","09/29/2009","Odessa","Saskatchewan","Enbridge Pipelines Inc.","Closed","50.29138341","-103.81035530","175.0000","Crude Oil - Synthetic","Liquid","No","2009","Corrosion and Cracking","Engineering and Planning"
"INC2009-112","Fire, Release of Substance","09/30/2009","Brampton","Ontario","2193914 Canada Limited","Closed","43.59893000","-79.77600000","Not Provided","Natural Gas - Sweet","Gas","No","2009","External Interference","Inadequate Supervision"
"INC2009-113","Release of Substance","10/05/2009","Marionville","Ontario","Trans-Northern Pipelines Inc.","Closed","45.16297000","-75.37183000","3.0000","Gasoline","Liquid","Yes","2009","Corrosion and Cracking","Engineering and Planning, Maintenance"
